-BEGIN HEADER-,,,,,,,
NASA/POWER CERES/MERRA2 Native Resolution Daily Data ,,,,,,,
Dates (month/day/year): 01/01/1981 through 01/01/2022 ,,,,,,,
Location: Latitude  32.756   Longitude -97.3225 ,,,,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 254.24 meters,,,,,,,
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 ,,,,,,,
Parameter(s): ,,,,,,,
T2M             MERRA-2 Temperature at 2 Meters (C) ,,,,,,,
QV2M            MERRA-2 Specific Humidity at 2 Meters (g/kg) ,,,,,,,
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) ,,,,,,,
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) ,,,,,,,
WS2M            MERRA-2 Wind Speed at 2 Meters (m/s) ,,,,,,,
PS              MERRA-2 Surface Pressure (kPa) ,,,,,,,
-END HEADER-,,,,,,,
YEAR,MO,Day,T2M,RH2M,PRECTOTCORR,WS2M,PS
1981,1,1,8.26,66,0,2.32,99.59
1981,1,2,5.33,64.69,0,2.02,99.64
1981,1,3,6.73,72.94,0.05,3.3,99.13
1981,1,4,1.45,63.31,0,2.3,99.75
1981,1,5,2.67,65.88,0.07,3.27,99.37
1981,1,6,7.18,77.06,0.17,3.48,98.85
1981,1,7,4.19,69.62,0,1.41,99.19
1981,1,8,6.51,75.69,3,1.77,98.9
1981,1,9,7.97,83.5,0.25,0.88,99.35
1981,1,10,6.83,74.88,0,2.13,100.08
1981,1,11,4.37,67.56,0.05,3.22,100.29
1981,1,12,-0.09,62.75,0,1.77,100.15
1981,1,13,5.56,74.69,0.04,3.65,98.8
1981,1,14,5.48,65.44,0,3.4,98.84
1981,1,15,3.73,68.75,0,1.69,99.22
1981,1,16,1.44,66.88,0,3.53,100.07
1981,1,17,0.02,56.94,0.05,2.32,100.72
1981,1,18,2.1,62.69,1.36,1.16,100.21
1981,1,19,1.61,91.06,1.85,2.26,99.01
1981,1,20,4.44,83.25,0.41,1.89,98.38
1981,1,21,3.16,80.81,1.15,3.7,99.33
1981,1,22,6.27,63.69,0,1.8,99.26
1981,1,23,8.44,53.38,0.01,1.39,98.69
1981,1,24,10.35,56,0.06,2.52,98.11
1981,1,25,11.33,60.31,0,2.61,97.84
1981,1,26,10.97,58.25,0,1.54,98.14
1981,1,27,7.09,61.75,0,1.4,98.43
1981,1,28,10.19,69.81,0,3.09,98.41
1981,1,29,13.29,72,0.04,4.37,98.45
1981,1,30,2.99,73.31,0.01,3.45,99.53
1981,1,31,6.39,92.5,2.53,3.93,98.31
1981,2,1,3.15,53.75,0.68,4.67,98.73
1981,2,2,-0.77,49.81,0,2.93,100.04
1981,2,3,4.23,57.69,0.1,2.9,99.75
1981,2,4,2.65,72.12,1.43,2.83,99.89
1981,2,5,3.7,85.5,0.7,1.56,99.47
1981,2,6,5.05,85.69,0.07,2.09,99.16
1981,2,7,7.94,77.19,0,4.45,98.25
1981,2,8,4.83,69.81,1.38,1.99,98.71
1981,2,9,7.74,94.44,5.68,3.91,97.82
1981,2,10,3.69,69.62,0.07,6.65,97.87
1981,2,11,-5.97,38.31,0.01,3.55,100.47
1981,2,12,-0.8,46.62,0.04,4.11,100.49
1981,2,13,2.41,67.88,0,1.95,100.61
1981,2,14,6.08,74.75,0,1.95,100.24
1981,2,15,8.33,70.25,0,3.27,99.43
1981,2,16,10.16,70.69,0.03,2.01,99.12
1981,2,17,11.98,74.56,0,2.88,98.84
1981,2,18,15.34,77.12,0.1,1.85,98.65
1981,2,19,16.14,63.31,0,1.66,98.83
1981,2,20,17.9,66.69,0.02,3.97,98.24
1981,2,21,16.94,61.62,1.21,5.44,97.9
1981,2,22,10.74,45.94,0,5.57,98.71
1981,2,23,13.24,43,0.04,2.97,98.6
1981,2,24,15.73,42,0,3.09,98.44
1981,2,25,16.83,72.19,0,4.54,98.34
1981,2,26,17.44,79.69,0.29,4.14,98.56
1981,2,27,18.4,81.62,8.52,4.42,98.55
1981,2,28,15.13,86.75,25,3.36,98.52
1981,3,1,12.19,74.31,0.19,1.91,98.66
1981,3,2,12.63,84.31,13.34,1.71,98.66
1981,3,3,13.4,91,21.08,4.41,97.78
1981,3,4,15.65,65.69,5.74,4.72,97.06
1981,3,5,9.45,70.19,0.24,4.16,98.33
1981,3,6,8.99,71.31,0.01,1.51,98.44
1981,3,7,9.3,90.5,22.1,3.07,98.54
1981,3,8,7.06,85.81,0.25,2.67,99.53
1981,3,9,7.99,75.38,0,1.33,99.87
1981,3,10,10.94,69.25,0.05,0.97,99.68
1981,3,11,12.08,67.31,0.09,1.81,99.62
1981,3,12,12.19,68.19,0.11,1.39,99.1
1981,3,13,13.01,73.12,0.03,1.3,98.71
1981,3,14,14.36,68.75,0.15,2.56,98.71
1981,3,15,14.3,69.88,0.64,4.44,98.33
1981,3,16,12.23,57.31,0,1.84,99.08
1981,3,17,16.05,51.31,0.13,5.4,97.48
1981,3,18,8.26,48.69,0.03,6.7,98.06
1981,3,19,8.32,45.19,0,2.43,98.98
1981,3,20,12.63,49.75,0,4.09,98.11
1981,3,21,15.59,51.75,0.04,5.75,96.96
1981,3,22,9.94,71.69,0.02,5.89,98.38
1981,3,23,10.54,66.69,0,2.22,99.31
1981,3,24,13.57,56.44,0.07,1.88,99.08
1981,3,25,13.59,66.94,2.27,2.9,98.91
1981,3,26,15.44,71.81,0,3.34,98.76
1981,3,27,18.53,73.25,2.24,5.81,98.43
1981,3,28,18.12,83.12,9.72,5.51,98.02
1981,3,29,14.94,58.12,5.97,3.78,97.69
1981,3,30,17.48,53.62,0.03,3.64,97.67
1981,3,31,18.82,47.69,0,3.16,98.35
1981,4,1,18.4,42.5,0.06,1.91,98.96
1981,4,2,18.79,59.75,0.06,4.2,98.51
1981,4,3,22.17,68.06,5.28,6.12,97.42
1981,4,4,15.86,44.31,0.07,3.77,98.25
1981,4,5,13.98,49.69,0.03,2.55,99.65
1981,4,6,15.05,48.06,0.02,3.22,99.42
1981,4,7,17.58,66.25,0,5.77,98.42
1981,4,8,21.06,77.31,0.04,5.09,98.23
1981,4,9,22.22,75.5,0.02,4,98.67
1981,4,10,21.58,73.56,0.07,4.64,98.74
1981,4,11,21.99,74,0,4.71,98.6
1981,4,12,24.2,69.75,0.08,4.34,98.52
1981,4,13,24.12,64.06,0.61,4.02,98.59
1981,4,14,18.48,67.19,0.38,4.16,99.5
1981,4,15,15.86,69,0.94,3.32,99.85
1981,4,16,20.37,62.75,0.01,2.3,99.3
1981,4,17,22.78,67.69,6.61,3.2,98.89
1981,4,18,20.41,77.62,12.01,4.38,98.7
1981,4,19,23.79,70.19,1.99,4.08,98.32
1981,4,20,23.19,61.81,0.59,2.57,98.39
1981,4,21,20.79,79.31,17.63,2.41,98.4
1981,4,22,21.71,84.25,8.15,3.42,98.1
1981,4,23,17.65,66.06,8.29,2.65,98.53
1981,4,24,18.8,53.38,0.02,1.54,98.53
1981,4,25,20.17,58.25,0,2.39,98.46
1981,4,26,21.87,69.31,0.04,3.05,98.53
1981,4,27,22.75,68.62,0.19,3.48,98.53
1981,4,28,23.37,75.19,5.33,2.73,98.39
1981,4,29,25.09,72.75,1.42,1.33,98.35
1981,4,30,24.6,78.44,7.5,1.83,98.37
1981,5,1,21.21,76.5,3.65,2.97,98.52
1981,5,2,20.65,58.5,0.05,2.68,98.41
1981,5,3,20.41,84.56,3.74,3.52,97.93
1981,5,4,21.83,82.19,1.01,3.1,97.94
1981,5,5,21.42,76.69,0.44,2.77,98.37
1981,5,6,19.88,66.56,0,2.38,98.4
1981,5,7,19.8,71.75,11.21,1.81,98.25
1981,5,8,21.62,82.38,29.84,3.87,97.82
1981,5,9,19.56,72.38,7.96,5.96,97.83
1981,5,10,14.08,55.75,0.11,5.04,98.64
1981,5,11,16,51.25,0,2.11,98.59
1981,5,12,21.37,61.31,0.06,4.43,98.05
1981,5,13,23.98,66.62,0.22,5.04,97.94
1981,5,14,17.34,59.56,0,2.66,98.72
1981,5,15,15.57,73.19,8.38,3.3,98.4
1981,5,16,22.08,82.12,17.65,4.96,97.56
1981,5,17,25.54,75.75,1.96,5.14,97.47
1981,5,18,23.44,57.75,0.2,3.19,97.86
1981,5,19,16.32,59.38,0.06,4.48,98.8
1981,5,20,16.87,64.31,0,2.38,98.96
1981,5,21,19.7,64.62,0,3.95,98.6
1981,5,22,23.32,71.31,0.35,4.8,98.09
1981,5,23,24.39,80.75,18.61,4.36,97.92
1981,5,24,22.75,85.25,13.25,3.17,98.16
1981,5,25,23.37,74.81,0.87,1.76,98.1
1981,5,26,23.76,74.5,16.74,2.36,97.95
1981,5,27,25.57,75.19,0.57,3.64,97.92
1981,5,28,26.46,71.12,2.42,3.51,97.94
1981,5,29,24.36,82.88,6.71,2.72,97.98
1981,5,30,23.12,77.88,1.37,2.28,98.11
1981,5,31,23.19,66.19,6.69,1.82,98.24
1981,6,1,25.15,77.69,6.27,2.54,98.09
1981,6,2,24.39,83.81,8.06,3.03,98
1981,6,3,24.5,87.88,17.86,3.72,97.97
1981,6,4,23.9,88.31,10.83,2.62,98.17
1981,6,5,23.98,87.75,13.56,2.27,98.02
1981,6,6,24.43,81.94,9.12,0.89,98.02
1981,6,7,25.98,72.62,0,0.88,98.02
1981,6,8,27.73,74.5,0,3.71,97.72
1981,6,9,28.39,74.62,0,5,97.45
1981,6,10,27.74,78.81,0.17,4.41,97.7
1981,6,11,25.05,86,0.12,3.28,98.07
1981,6,12,24.56,81.56,0.56,3.4,98.18
1981,6,13,25.48,85.38,2.1,5.21,98.06
1981,6,14,25.93,85.81,4.59,5.85,98.02
1981,6,15,25.88,84.38,25.72,4.45,98.39
1981,6,16,19.12,74.56,3.68,3.54,99.16
1981,6,17,22.24,75.75,0.06,1.8,98.81
1981,6,18,26.5,74.19,0.06,4.08,98.38
1981,6,19,27.17,71,0,3.83,98.31
1981,6,20,27.85,71.5,0,4.7,98.18
1981,6,21,28.57,69.25,0,5.34,98.05
1981,6,22,28.47,68.94,0,4.34,98.27
1981,6,23,28.62,66.31,0,3.4,98.59
1981,6,24,28.51,66.75,0,3.25,98.66
1981,6,25,27.85,68.31,0.04,2.09,98.92
1981,6,26,28.46,68.12,0.08,2.44,98.93
1981,6,27,27.91,62.94,0,3.07,98.69
1981,6,28,27.65,67.56,0,3.44,98.57
1981,6,29,28.82,65.56,0.01,3.85,98.72
1981,6,30,29.76,60.81,0.01,3.47,98.75
1981,7,1,29.63,61.62,0.36,2.57,98.41
1981,7,2,29.08,66.12,6,1.58,98.29
1981,7,3,27.37,77.56,17.79,2.08,98.35
1981,7,4,28.64,73.38,4.92,1.95,98.22
1981,7,5,28.14,65.31,1.87,1.88,98.09
1981,7,6,27.26,66.12,0.32,1.84,98.21
1981,7,7,25.53,75,0.21,3.78,98.38
1981,7,8,27.01,73.5,0.02,4.05,98.93
1981,7,9,28.45,68.62,0.02,2.48,99.09
1981,7,10,28.79,67.62,0,1.93,98.89
1981,7,11,29.41,64.25,0,2.19,98.65
1981,7,12,28.76,64.5,0.02,2.2,98.59
1981,7,13,29.89,59.69,0,3.08,98.6
1981,7,14,30.44,58.75,0,3.7,98.46
1981,7,15,31,54.12,0,3.91,98.33
1981,7,16,30.9,51.81,0,3.68,98.3
1981,7,17,31.54,52.56,0,3.96,98.24
1981,7,18,31.81,52.12,0,4.44,98.28
1981,7,19,32.57,51.06,0,4.09,98.34
1981,7,20,33.44,47.81,0.05,3.59,98.37
1981,7,21,34.17,40.06,0,3.89,98.29
1981,7,22,33.55,44,0,4.27,98.27
1981,7,23,33.6,42.62,0,4.23,98.38
1981,7,24,33.76,38.12,0,3.98,98.49
1981,7,25,33,44.94,0.03,4.24,98.62
1981,7,26,30.62,59,0.08,3.98,98.72
1981,7,27,27.97,70.31,1.91,3.35,98.81
1981,7,28,29.86,58.5,2.46,2.88,98.77
1981,7,29,31.83,47.31,0.07,3.1,98.57
1981,7,30,32.26,43,0,4.19,98.57
1981,7,31,32.4,47.56,0.02,3.62,98.69
1981,8,1,32.87,45,0.32,4.09,98.68
1981,8,2,33.09,42,0.48,4.52,98.25
1981,8,3,32.73,42.06,0.05,3.54,98.17
1981,8,4,33.32,40.12,0,3.98,98.46
1981,8,5,33.3,45.12,0.06,3.66,98.61
1981,8,6,33.19,46.38,6.09,2.97,98.42
1981,8,7,28.29,52.19,0.74,3.28,98.37
1981,8,8,27.35,40.94,0,2.8,98.51
1981,8,9,28.07,34.75,0,1.55,98.69
1981,8,10,29.59,33.12,0.07,2.04,98.82
1981,8,11,29.96,39.62,0.78,1.75,98.69
1981,8,12,30.87,45.69,0.02,3.47,98.52
1981,8,13,32.07,43.19,0,3.55,98.57
1981,8,14,32.87,45.81,0.05,3.55,98.61
1981,8,15,32.9,46.88,2.16,2.72,98.39
1981,8,16,30.85,59.62,12.86,2.45,98.05
1981,8,17,26.82,74.81,11.72,1.41,98.15
1981,8,18,25.64,67.88,1.27,2.63,98.39
1981,8,19,25.84,61.31,0.04,2.83,98.53
1981,8,20,24.87,53.69,0,2.45,98.63
1981,8,21,25.16,52.06,0,1.6,98.65
1981,8,22,26.24,53.31,0,1.79,98.61
1981,8,23,27.26,49.19,0,1.72,98.48
1981,8,24,29.33,47.88,0.11,1.93,98.54
1981,8,25,29.65,55.62,0.94,2.2,98.57
1981,8,26,29.86,52.88,2.56,2.44,98.33
1981,8,27,28.35,56,0.96,1.83,98.29
1981,8,28,28.9,50.06,0.08,1.34,98.51
1981,8,29,30.15,54,0.05,3.3,98.38
1981,8,30,29.4,57.44,0.08,4.6,98.13
1981,8,31,28.04,72.88,12.78,3.66,97.86
1981,9,1,26.57,82.75,16.54,1.49,97.81
1981,9,2,25.76,79.44,5.26,1.59,98.04
1981,9,3,27.49,74.62,3.38,1.73,98.29
1981,9,4,27.25,74,2.66,1.49,98.55
1981,9,5,26.94,69.38,0.74,1.71,98.6
1981,9,6,26.82,69.56,3.62,2.59,98.61
1981,9,7,27.12,69.81,6.01,1.97,98.66
1981,9,8,23.25,56.44,0.03,3.33,98.93
1981,9,9,21.98,58.5,0.01,1.48,98.76
1981,9,10,25.24,52.19,0,1.92,98.45
1981,9,11,26.73,59.75,5.11,2.87,98.53
1981,9,12,26.37,63.12,4,1.77,98.61
1981,9,13,26.65,71.88,24.11,2.23,98.32
1981,9,14,26.06,74.75,3.05,1.3,98.13
1981,9,15,25.18,70.19,0.04,2.9,98.42
1981,9,16,21.11,59.75,0.04,4.05,99.16
1981,9,17,15.94,49.69,0,3.34,99.79
1981,9,18,15.69,54.38,0,1.88,99.78
1981,9,19,17.98,47,0,2.25,99.02
1981,9,20,20.69,56.31,0,3.89,98.32
1981,9,21,23.9,61.38,0,3.47,98.28
1981,9,22,24.58,64.88,0.02,2.86,98.57
1981,9,23,25.17,61.44,0,3.24,98.87
1981,9,24,24.47,58.25,0,3.55,98.9
1981,9,25,25.63,61.19,0,4.31,98.61
1981,9,26,26.58,64.5,0.46,4.05,98.43
1981,9,27,26.69,64,0.05,2.6,98.84
1981,9,28,26.01,56.44,0,2.09,98.96
1981,9,29,26.08,55.56,0,2.72,98.76
1981,9,30,25.83,56.31,0,3.33,98.6
1981,10,1,25.3,62.62,0.03,2.74,98.76
1981,10,2,23.57,43.12,0.01,2.41,98.72
1981,10,3,24.49,60.38,0.11,4.94,98.2
1981,10,4,27.39,60.69,0.02,4.73,98.13
1981,10,5,26.93,65.44,3.64,3.68,98.47
1981,10,6,22.19,87.5,34.34,3.12,98.78
1981,10,7,12.95,88.25,47.09,4.45,98.76
1981,10,8,13.26,83.5,3.89,1.38,98.44
1981,10,9,19.35,85.06,4.95,2.2,98.13
1981,10,10,20.26,85.94,0.81,1.59,98.66
1981,10,11,19.29,93.19,40.53,3.4,98.58
1981,10,12,23.54,92.81,71.23,4.02,98.23
1981,10,13,23.58,95.12,70.86,3.64,98.13
1981,10,14,23.82,85.5,0.81,1.58,98.46
1981,10,15,24.18,89.94,18.01,2.46,98.71
1981,10,16,23.84,87.44,4.59,2.99,98.55
1981,10,17,22.03,89.31,4.23,3.78,98.33
1981,10,18,13.02,71.75,0,3.19,99.62
1981,10,19,13.98,63.19,0.2,1.48,99.68
1981,10,20,15.83,71.94,0.97,4,98.96
1981,10,21,17.11,93.06,16.37,2.8,98.88
1981,10,22,10.53,87.62,14.15,4.46,99.31
1981,10,23,7.4,71.94,0,3.26,99.92
1981,10,24,7.86,73.88,0.05,3.34,98.71
1981,10,25,10.48,84.62,0.39,4.84,97.93
1981,10,26,8.84,74,0.12,3.12,98.89
1981,10,27,10.95,77.38,0.01,2.35,99.02
1981,10,28,13.01,81.62,0,3.2,98.86
1981,10,29,14.89,84.88,0.01,3.91,98.49
1981,10,30,17.58,92,22.02,3.95,98.47
1981,10,31,18.23,92,37.66,4.03,98.67
1981,11,1,11.73,71.81,0,4.33,99
1981,11,2,11.27,71.56,0.01,2.3,98.83
1981,11,3,11.92,76.56,0.06,1.23,98.88
1981,11,4,13.33,80.44,0,1.73,98.8
1981,11,5,14.65,87.38,0,2.22,98.89
1981,11,6,11.94,79.81,0.19,2.16,99.41
1981,11,7,13.18,76.19,0.21,1.94,98.86
1981,11,8,15.51,87.19,20.91,2.73,98.49
1981,11,9,7.02,80.94,0.12,4.92,99.72
1981,11,10,7.26,69.88,0,1.89,99.77
1981,11,11,8.04,71.44,0,1.15,99.46
1981,11,12,9.72,85.06,0,1.43,99.16
1981,11,13,11.65,87.5,0.17,1.93,99.01
1981,11,14,13.22,90.19,0.01,3.14,98.74
1981,11,15,15.07,87.44,0,3.32,98.24
1981,11,16,13.91,79.31,0,1.27,98.64
1981,11,17,15.37,83.31,0,1.88,98.54
1981,11,18,17.39,84.31,0,3.73,97.73
1981,11,19,10.15,70.75,0,4.64,98.71
1981,11,20,4.65,72.56,0,2.02,99.53
1981,11,21,7.08,75.56,0,3.27,98.9
1981,11,22,9.67,85.12,0,1.68,98.4
1981,11,23,11.19,86.62,0,3.09,98.33
1981,11,24,11.65,70.56,0,1.9,98.72
1981,11,25,16.36,86.12,0,5.01,97.7
1981,11,26,14.3,77.94,0,4.59,97.97
1981,11,27,8.25,77.56,0.03,2.02,98.9
1981,11,28,11.78,81.38,1.62,1.07,99.02
1981,11,29,10.93,93.81,8.7,2.09,98.65
1981,11,30,14.64,74.12,6.79,4.87,97.37
1981,12,1,6.58,63.19,0,3.81,98.12
1981,12,2,6.88,62.81,0.05,2.08,98.46
1981,12,3,8.8,69.75,0,3.5,98.77
1981,12,4,5.65,65.5,0,2.34,100.16
1981,12,5,6.29,68.06,0.03,2.74,99.52
1981,12,6,9.68,84.06,0.01,3.43,98.82
1981,12,7,14.33,88.44,0,1.96,98.73
1981,12,8,12.04,89.19,0,1.4,99.26
1981,12,9,10.07,83.44,0,1.44,99.57
1981,12,10,11.98,88.38,0,2.68,98.8
1981,12,11,10.24,90,0.06,3.1,98.25
1981,12,12,7.04,87.44,1.23,2.55,98.78
1981,12,13,6.34,92.81,3.05,1.21,98.73
1981,12,14,5.3,86.56,0.31,3.11,99.04
1981,12,15,4.95,87.44,0.03,1.84,98.91
1981,12,16,8.5,79.5,0.03,4.62,98.42
1981,12,17,-1.73,72.44,0,4.91,99.88
1981,12,18,-2.31,72.31,0,1.34,100.12
1981,12,19,-0.19,73.75,0,3.31,99.63
1981,12,20,3.51,89.5,0.3,4.39,98.71
1981,12,21,13.34,81.06,0.08,4.12,97.34
1981,12,22,7.41,79.81,0.01,5.24,97.63
1981,12,23,1.01,76.44,0,2.73,99.23
1981,12,24,1.93,72.88,0,1.7,99.51
1981,12,25,2.83,71.94,0,2.85,98.6
1981,12,26,4.24,76.19,0,3.23,97.88
1981,12,27,6.85,71,0,3.87,97.46
1981,12,28,2.93,74.25,0,3.92,98.73
1981,12,29,1.4,76.25,0,2.11,99.49
1981,12,30,4.08,74.94,0.03,3.39,98.77
1981,12,31,7.37,78.44,0.02,4.29,98.12
1982,1,1,2.69,80.81,0,2.18,98.59
1982,1,2,13.18,81.56,0.62,3.83,97.72
1982,1,3,10.4,63.69,0.06,3.94,97.83
1982,1,4,4.44,54.06,0,3.09,99.17
1982,1,5,8.58,56.69,0,4.8,98.27
1982,1,6,11.65,63.19,0,4.55,98.13
1982,1,7,-2.4,62,0,6.16,99.91
1982,1,8,-0.66,59.06,0,2.02,100.02
1982,1,9,2.53,67.62,0,2.73,99.34
1982,1,10,-8.15,50.5,0,6.95,100.4
1982,1,11,-9.32,43.06,0.2,2.91,99.97
1982,1,12,-1.73,77.62,1.02,4.64,98.36
1982,1,13,-6.17,72.56,1.13,3.73,98.93
1982,1,14,-0.81,72.88,0,2.74,98.67
1982,1,15,3.68,73.19,0,3.09,98.01
1982,1,16,-4.52,65.25,0.05,5.77,99.82
1982,1,17,-3.44,62.19,0,3.91,99.09
1982,1,18,4.76,79.69,0,3.59,98.02
1982,1,19,7.48,82.75,0,1.76,98.38
1982,1,20,10.19,94.56,1.2,1.52,98.56
1982,1,21,10.31,96.38,7.78,1.49,98.62
1982,1,22,15.21,68,0.85,5.58,98.02
1982,1,23,0.7,57.38,0,2.74,99.31
1982,1,24,4.69,65.06,0,2.57,98.78
1982,1,25,5.87,69,0,3.82,99.18
1982,1,26,5.72,56.5,0,2.97,99.59
1982,1,27,10.58,70.56,0,5.09,98.49
1982,1,28,9.98,77.44,0.17,3.78,99.12
1982,1,29,16.57,89.75,11.36,6.11,98.16
1982,1,30,9.37,88.69,30.7,6.3,97.81
1982,1,31,2.63,75,1.67,4.32,99.1
1982,2,1,3.82,78.56,0.26,4.33,98.9
1982,2,2,5.6,84,6.89,3.91,98.55
1982,2,3,-1.46,78.69,0,4.59,99.33
1982,2,4,-2.49,82.12,0.03,2.56,99.62
1982,2,5,-5.02,72.25,0.19,5.37,100.08
1982,2,6,-5.38,62.31,0,3.57,100.49
1982,2,7,-0.52,70.56,0.02,2.14,99.59
1982,2,8,1.73,88.62,0.3,2.68,98.56
1982,2,9,-2.42,75.75,0.39,4.96,99.5
1982,2,10,-0.74,77.81,0.01,2.25,99.12
1982,2,11,2.51,88.31,0.14,2.38,99.17
1982,2,12,3.32,86.12,0.76,3.59,99.47
1982,2,13,1.26,81.81,0,1.55,99.82
1982,2,14,6.4,76,0,4.4,98.58
1982,2,15,12.81,89.31,0.48,4.06,97.94
1982,2,16,11.76,78.5,0.01,3.28,98.01
1982,2,17,8.99,87.38,0,2.42,97.88
1982,2,18,9.46,83.25,0.02,3.02,98.75
1982,2,19,10.51,74.31,0,1.55,99.28
1982,2,20,13.72,80.25,0,2.03,98.89
1982,2,21,14.64,61.5,0,1.52,98.89
1982,2,22,16.46,66.94,0.01,2.84,98.71
1982,2,23,16.76,63.38,0,4.9,98.54
1982,2,24,11.98,80.88,2.78,3.95,98.94
1982,2,25,3.28,88.62,32.67,5.62,99.68
1982,2,26,1.49,84.5,1.38,3.55,99.7
1982,2,27,3.27,81.56,0.02,1.59,99.49
1982,2,28,6.8,80.62,0.06,0.95,99.64
1982,3,1,10.39,76.31,0.04,1.85,99.65
1982,3,2,13.98,70.38,0.01,5.05,98.32
1982,3,3,16.79,67.88,0.01,3.68,97.49
1982,3,4,7.48,71.19,0,3.53,98.09
1982,3,5,3.18,80.75,5.07,3.84,98.8
1982,3,6,2.1,67.88,0.09,4.08,99.08
1982,3,7,5.05,60.81,0,2.19,99.35
1982,3,8,9.95,62,0.21,4.61,99.01
1982,3,9,12.18,83.75,0.03,4.55,99.06
1982,3,10,16.41,81.06,0.04,4.61,98.52
1982,3,11,18.52,74.94,0.02,2.83,97.99
1982,3,12,18.37,86,0.4,4.61,97.71
1982,3,13,17.5,86.44,7.22,2.77,98.25
1982,3,14,18.85,74.19,7.62,3.7,97.97
1982,3,15,19.25,79.62,0.25,4.04,97.53
1982,3,16,18.73,60.94,0.01,2.01,97.87
1982,3,17,21.45,82,0.06,2.52,98.19
1982,3,18,22.67,78.5,0,4.16,98.36
1982,3,19,22.49,74.06,0.39,4.5,97.85
1982,3,20,17.58,54.38,1.03,2.31,98.02
1982,3,21,11.55,77.25,7.28,3.86,98.65
1982,3,22,11.24,66.44,0.07,3.09,99.01
1982,3,23,12.69,81.62,0.17,2.9,98.27
1982,3,24,16.23,79.69,0.04,2.75,97.72
1982,3,25,10.37,70.56,0.44,4.95,98.75
1982,3,26,6.87,61.25,8.48,2.64,99.42
1982,3,27,4.67,87.56,11.03,3.72,99.29
1982,3,28,8.41,75.31,0.29,1.6,99.45
1982,3,29,12.26,87,0.29,5.02,98.53
1982,3,30,19.22,65.56,0.51,3.75,98.23
1982,3,31,16.29,64.62,0.01,3.15,98.88
1982,4,1,18.63,77.81,3.13,2.8,98.48
1982,4,2,21.07,61.5,2.03,5.59,97.52
1982,4,3,13.49,50.31,0,2.16,98.76
1982,4,4,17.6,68.62,0,4.41,97.86
1982,4,5,15.01,52.5,0,5.38,98.1
1982,4,6,7.55,59.81,0,3.09,99.1
1982,4,7,13.28,72.44,0.03,5.17,98.12
1982,4,8,16.01,66.69,0.11,4.73,98.06
1982,4,9,10.66,63,0.38,2.9,98.72
1982,4,10,8.3,82.75,12.55,2.38,99.12
1982,4,11,11.95,67.56,0.03,3.45,98.91
1982,4,12,20.01,58.44,0.06,4.41,97.79
1982,4,13,22.19,67.5,0.04,3.05,97.83
1982,4,14,22.72,75.81,0.61,4.27,97.92
1982,4,15,22.31,73.75,0.94,5.62,97.48
1982,4,16,24.82,67.06,1.74,4.05,97.69
1982,4,17,15.19,53,0.04,4.48,99.24
1982,4,18,16.35,68.69,1.83,3.3,98.75
1982,4,19,22.48,68,1.43,3.62,97.96
1982,4,20,14.73,46.62,0.07,5.09,98.95
1982,4,21,10.43,67.94,3.76,4.26,99.68
1982,4,22,10.62,71,1.98,1.89,100.02
1982,4,23,13.23,58.88,0.54,1.91,99.69
1982,4,24,12.93,79.69,3.23,3.23,98.67
1982,4,25,17.91,63,0.26,4.06,97.77
1982,4,26,17.48,65.88,0.18,2.72,98.55
1982,4,27,18.79,68.81,0.38,2.3,98.86
1982,4,28,19.81,76.12,18.56,2.5,98.5
1982,4,29,18.39,77.19,1.14,2.3,98.52
1982,4,30,19.59,78.31,2.37,2.2,98.82
1982,5,1,18.43,80,1.47,2.09,99.1
1982,5,2,20.39,72.94,0.25,1.4,99.05
1982,5,3,21.55,71.44,0.01,2.67,98.83
1982,5,4,23.23,64.25,0.52,4.3,98.56
1982,5,5,21.19,82.88,18.09,4.73,98.34
1982,5,6,17.05,75.69,27.89,3.42,98.46
1982,5,7,15.37,61.38,0,1.59,98.78
1982,5,8,18.32,59.19,0,3.45,98.72
1982,5,9,19.55,63.88,0.06,3.88,98.62
1982,5,10,21.42,74.56,0.31,3.91,98.33
1982,5,11,21.87,83.25,18.66,4.46,98.22
1982,5,12,21.62,93.81,75.51,5.65,97.87
1982,5,13,21.1,81,5.95,4.66,97.55
1982,5,14,19.86,66.81,0.35,2.88,97.93
1982,5,15,21.5,79.31,0.51,3.09,98.36
1982,5,16,22.01,88.12,21.4,4.11,98.36
1982,5,17,20.87,87.62,12.86,2.84,98.49
1982,5,18,21.38,86.44,7.77,2.02,98.43
1982,5,19,22.69,81.56,0.62,3.3,98.29
1982,5,20,23.68,83.06,8.44,4.19,98.16
1982,5,21,23.11,88.44,6.44,2.68,98.37
1982,5,22,22.49,88.12,11.68,1.71,98.53
1982,5,23,22.04,85.56,16.02,1.89,98.4
1982,5,24,22.51,85.38,8.78,1.89,98.08
1982,5,25,21.64,82.06,16.25,1.65,98.01
1982,5,26,24.01,82.94,4.96,3.05,97.69
1982,5,27,24.04,91,15.43,3.33,97.74
1982,5,28,24.94,85.25,3.24,4.66,97.64
1982,5,29,26.38,80.56,0.45,3.98,97.71
